InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555200,71459,HANGING JAM JAR T-LIGHT HOLDER,24,01-06-2011 12:05,0.85,17315.0,United Kingdom
554974,21128,GOLD FISHING GNOME,4,27-05-2011 17:14,6.95,14031.0,United Kingdom
550972,21086,SET/6 RED SPOTTY PAPER CUPS,4,21-04-2011 17:05,0.65,14031.0,United Kingdom
576652,22812,PACK 3 BOXES CHRISTMAS PANETTONE,3,16-11-2011 10:39,1.95,17198.0,United Kingdom
546157,22180,RETROSPOT LAMP,2,10-03-2011 08:40,9.95,13502.0,United Kingdom
576200,82482,WOODEN PICTURE FRAME WHITE FINISH,2,14-11-2011 12:14,2.95,15572.0,United Kingdom
577076,22614,PACK OF 12 SPACEBOY TISSUES,12,17-11-2011 15:08,0.39,14362.0,United Kingdom
568909,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,29-09-2011 13:38,1.25,16818.0,United Kingdom
578072,21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1,22-11-2011 16:02,6.75,17759.0,United Kingdom
560491,23297,SET 40 HEART SHAPE PETIT FOUR CASES,2,19-07-2011 10:51,1.65,12415.0,Australia
545721,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,07-03-2011 10:52,7.9,15039.0,United Kingdom
573399,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,30-10-2011 15:35,0.79,13949.0,United Kingdom
551954,22799,SWEETHEART WIRE FRUIT BOWL,1,05-05-2011 12:13,8.5,14515.0,United Kingdom
563745,22115,METAL SIGN EMPIRE TEA,12,19-08-2011 09:38,0.79,15159.0,United Kingdom
540418,22161,HEART DECORATION RUSTIC HANGING ,5,07-01-2011 11:04,0.81,,United Kingdom
546237,84508A,CAMOUFLAGE DESIGN TEDDY,6,10-03-2011 12:50,2.55,16625.0,United Kingdom
548005,21499,BLUE POLKADOT WRAP,25,29-03-2011 10:49,0.42,14128.0,United Kingdom
539000,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,15-12-2010 12:27,9.95,13092.0,United Kingdom
545715,82600,NO SINGING METAL SIGN,1,07-03-2011 10:13,4.13,,United Kingdom
C572489,22465,HANGING METAL STAR LANTERN,-5,24-10-2011 13:59,1.65,17119.0,United Kingdom
577820,23169,CLASSIC GLASS COOKIE JAR,18,22-11-2011 09:24,3.75,13408.0,United Kingdom
555091,21936,RED RETROSPOT PICNIC BAG,1,31-05-2011 12:50,2.95,12748.0,United Kingdom
556106,22669,RED BABY BUNTING ,2,08-06-2011 16:54,2.95,14056.0,United Kingdom
537159,22667,RECIPE BOX RETROSPOT ,1,05-12-2010 13:17,2.95,14527.0,United Kingdom
565841,22555,PLASTERS IN TIN STRONGMAN,1,07-09-2011 12:04,3.29,,United Kingdom
536532,20685,DOORMAT RED RETROSPOT,2,01-12-2010 13:24,7.95,12433.0,Norway
572681,23232,WRAP VINTAGE LEAF DESIGN,25,25-10-2011 13:51,0.42,13510.0,United Kingdom
548309,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,30-03-2011 12:02,0.85,16657.0,United Kingdom
577531,22699,ROSES REGENCY TEACUP AND SAUCER ,7,20-11-2011 13:58,5.79,,United Kingdom
559133,21987,PACK OF 6 SKULL PAPER CUPS,2,06-07-2011 13:13,0.65,17861.0,United Kingdom
566922,23420,PANTRY HOOK TEA STRAINER ,12,15-09-2011 14:58,2.08,16156.0,United Kingdom
545227,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,01-03-2011 09:35,0.85,12428.0,Finland
574074,35095A,BLUE VICTORIAN FABRIC OVAL BOX,2,02-11-2011 15:33,0.83,,United Kingdom
569026,23203,JUMBO BAG VINTAGE DOILY ,10,30-09-2011 10:18,2.08,16101.0,United Kingdom
538163,22468,BABUSHKA LIGHTS STRING OF 10,2,09-12-2010 17:27,6.75,17841.0,United Kingdom
572719,23031,DRAWER KNOB CRACKLE GLAZE PINK,12,25-10-2011 15:03,1.65,13871.0,United Kingdom
552828,22046,TEA PARTY  WRAPPING PAPER ,25,11-05-2011 13:23,0.42,13662.0,United Kingdom
575922,23225,CHERUB HEART DECORATION SILVER ,24,11-11-2011 17:10,0.83,15681.0,United Kingdom
C546730,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,16-03-2011 11:39,4.95,18183.0,United Kingdom
560267,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,17-07-2011 14:05,3.25,13880.0,United Kingdom
540468,21413,PERIWINKLE T-LIGHT HOLDER,1,07-01-2011 13:55,2.51,,United Kingdom
545701,48116,DOORMAT MULTICOLOUR STRIPE,10,06-03-2011 15:17,6.75,17107.0,United Kingdom
567656,51014A,"FEATHER PEN,HOT PINK",26,21-09-2011 14:40,0.83,14096.0,United Kingdom
575063,35970,ZINC FOLKART SLEIGH BELLS,3,08-11-2011 12:32,1.69,16764.0,United Kingdom
556917,22659,LUNCH BOX I LOVE LONDON,128,15-06-2011 13:37,1.65,12415.0,Australia
561369,22268,DECORATION SITTING BUNNY,2,26-07-2011 16:21,0.63,,United Kingdom
538449,82599,FANNY'S REST STOPMETAL SIGN,2,12-12-2010 12:24,2.1,17085.0,United Kingdom
536531,22726,ALARM CLOCK BAKELIKE GREEN,9,01-12-2010 13:23,3.75,15485.0,United Kingdom
C559030,84857C,PINK MONTE CARLO HANDBAG,-1,05-07-2011 14:51,1.95,16571.0,United Kingdom
540681,82494L,WOODEN FRAME ANTIQUE WHITE ,1,10-01-2011 16:25,7.62,,United Kingdom
562377,23165,LARGE CERAMIC TOP STORAGE JAR,6,04-08-2011 15:04,1.65,14535.0,United Kingdom
568144,21933,PINK VINTAGE PAISLEY PICNIC BAG,10,25-09-2011 11:29,1.65,14005.0,United Kingdom
554016,21916,SET 12 RETRO WHITE CHALK STICKS,6,20-05-2011 13:14,0.42,13243.0,United Kingdom
562717,22784,LANTERN CREAM GAZEBO ,1,08-08-2011 15:42,10.79,,United Kingdom
554959,85099B,JUMBO BAG RED RETROSPOT,2,27-05-2011 15:18,4.13,,United Kingdom
550512,22523,CHILDS GARDEN FORK PINK,2,18-04-2011 16:31,0.85,18069.0,United Kingdom
578844,21317,GLASS SPHERE CANDLE STAND MEDIUM,4,25-11-2011 16:14,10.79,,United Kingdom
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,25-10-2011 13:10,1.45,16549.0,United Kingdom
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,17-05-2011 13:26,5.45,13310.0,United Kingdom
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,01-09-2011 11:33,1.69,13089.0,United Kingdom
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12-09-2011 13:56,6.95,13064.0,United Kingdom
536593,22366,DOORMAT AIRMAIL ,2,01-12-2010 17:15,7.95,16835.0,United Kingdom
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,22-11-2011 14:23,4.25,17338.0,United Kingdom
553525,21385,IVORY HANGING DECORATION  HEART,24,17-05-2011 14:50,0.85,16266.0,United Kingdom
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,04-04-2011 09:55,1.95,13198.0,United Kingdom
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,03-05-2011 12:16,0.83,15271.0,United Kingdom
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,02-06-2011 15:13,1.65,12517.0,Germany
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,27-11-2011 16:05,0.39,15436.0,United Kingdom
579777,21877,HOME SWEET HOME MUG,1,30-11-2011 15:13,3.29,,United Kingdom
557233,22561,WOODEN SCHOOL COLOURING SET,3,17-06-2011 14:44,1.65,15356.0,United Kingdom
555924,85131B,BEADED CRYSTAL HEART GREEN ON STICK,5,07-06-2011 17:12,0.83,,United Kingdom
558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,27-06-2011 14:30,1.25,17841.0,United Kingdom
